総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子順位	女子順位	年齢区分	年齡別順
参考記録	877	伊藤 昭宏	55	男	愛知県		0:38:40	185	1:31:28	145	2:10:08	154						55-59歳	
参考記録	849	佐野 渉	52	男	愛知県		0:43:38	327	1:26:31	83	2:10:09	155						50-54歳	
参考記録	790	三宅 正彦	47	男	愛知県		0:39:02	197	1:31:09	141	2:10:11	156						45-49歳	
参考記録	911	今野 俊彰	59	男	愛知県		0:41:17	261	1:28:59	116	2:10:16	157						55-59歳	
参考記録	840	東浦 至孝	51	男	愛知県		0:42:25	296	1:28:01	101	2:10:26	159						50-54歳	
参考記録	531	山陰 高史	24	男	愛知県		0:30:04	41	1:40:28	269	2:10:32	160						20-24歳	
参考記録	963	曽我 和恵	49	女	愛知県		0:41:27	267	1:29:13	120	2:10:40	161						45-49歳	
参考記録	787	熊田 誠司	47	男	愛知県		0:39:10	200	1:31:39	151	2:10:49	162						45-49歳	
参考記録	612	永田 昌義	32	男	愛知県		0:41:26	266	1:29:29	123	2:10:55	163						30-34歳	
参考記録	643	山口 直樹	36	男	栃木県		0:37:24	154	1:33:37	186	2:11:01	164						35-39歳	
参考記録	816	山崎 英明	49	男	神奈川県		0:42:23	294	1:28:38	112	2:11:01	165						45-49歳	
参考記録	859	丸井 英明	53	男	愛知県		0:29:48	37	1:41:16	283	2:11:04	166						50-54歳	
参考記録	863	中川 剛	54	男	愛知県		0:37:52	165	1:33:19	183	2:11:11	167						50-54歳	
参考記録	530	桑原 明人	23	男	愛知県		0:34:05	83	1:37:10	234	2:11:15	169						20-24歳	
参考記録	792	河合 泰	47	男	愛知県		0:39:31	216	1:32:02	161	2:11:33	172						45-49歳	
参考記録	984	渡辺 真美	45	女	岐阜県		0:34:01	79	1:37:41	242	2:11:42	173						45-49歳	
参考記録	760	田中 秀昭	45	男	岐阜県		0:42:35	300	1:29:09	117	2:11:44	174						45-49歳	
参考記録	885	落合 正久	56	男	愛知県		0:34:55	103	1:36:59	230	2:11:54	175						55-59歳	
参考記録	976	金子 亜希子	39	女	愛知県		0:29:31	34	1:42:24	298	2:11:55	176						35-39歳	
参考記録	773	渡部 昭人	46	男	愛知県		0:40:51	247	1:31:05	139	2:11:56	177						45-49歳	
参考記録	556	権田 公一	27	男	愛知県		0:39:29	215	1:32:40	172	2:12:09	178						25-29歳	
参考記録	580	松野 友紀	29	男	愛知県		0:38:30	177	1:33:50	191	2:12:20	180						25-29歳	
参考記録	758	藤村 幸伸	45	男	奈良県		0:41:08	256	1:31:16	142	2:12:24	181						45-49歳	
参考記録	869	三富 誠	54	男	神奈川県		0:38:31	179	1:34:09	196	2:12:40	182						50-54歳	
参考記録	719	寺西 匠	42	男	愛知県		0:31:45	51	1:40:56	278	2:12:41	183						40-44歳	
参考記録	829	山崎 晃	50	男	愛知県		0:41:09	257	1:31:41	152	2:12:50	184						50-54歳	
参考記録	919	柴田 知巳	61	男	静岡県		0:37:39	159	1:35:15	207	2:12:54	185						60-64歳	
参考記録	898	中西 正明	58	男	愛知県		0:38:16	173	1:34:44	204	2:13:00	186						55-59歳	
参考記録	544	青木 雅司	26	男	愛知県		0:40:04	237	1:33:04	179	2:13:08	187						25-29歳	
参考記録	542	鈴木 恒平	25	男	愛知県		0:39:35	224	1:33:46	188	2:13:21	188						25-29歳	
参考記録	968	疋田 文枝	32	女	愛知県		0:31:42	50	1:41:43	290	2:13:25	189						30-34歳	
参考記録	592	渡會 峻	30	男	愛知県		0:39:15	203	1:34:11	197	2:13:26	190						30-34歳	
参考記録	915	神谷 博之	60	男	愛知県		0:37:51	162	1:35:38	213	2:13:29	192						60-64歳	
参考記録	914	梅本 眞市	60	男	愛知県		0:40:34	242	1:32:57	176	2:13:31	193						60-64歳	
参考記録	642	大澤 宏之	36	男	兵庫県		0:43:38	326	1:29:54	126	2:13:32	194						35-39歳	
参考記録	878	大橋 英之	55	男	愛知県		0:41:53	279	1:31:43	154	2:13:36	195						55-59歳	
参考記録	724	竹内 正樹	43	男	愛知県		0:43:42	328	1:29:55	127	2:13:37	196						40-44歳	
参考記録	650	吉田 豊	37	男	愛知県		0:37:27	155	1:36:15	223	2:13:42	197						35-39歳	
参考記録	520	鈴木 宏明	20	男	愛知県		0:42:09	288	1:31:36	149	2:13:45	198						20-24歳	
参考記録	887	土屋 人士	56	男	愛知県		0:45:45	368	1:28:00	100	2:13:45	199						55-59歳	
参考記録	876	鈴木 充正	55	男	東京都		0:44:54	348	1:28:53	113	2:13:47	200						55-59歳	
参考記録	774	桑山 幸久	46	男	愛知県		0:42:18	293	1:31:31	147	2:13:49	201						45-49歳	
参考記録	588	田邊 岳人	30	男	愛知県		0:33:13	65	1:40:39	272	2:13:52	202						30-34歳	
参考記録	647	清水 健寛	36	男	愛知県		0:39:22	207	1:34:32	202	2:13:54	203						35-39歳	
参考記録	718	出口 倫也	42	男	和歌山県		0:43:17	312	1:30:48	135	2:14:05	204						40-44歳	
参考記録	896	齋場 孝由	57	男	愛知県		0:36:57	146	1:37:11	235	2:14:08	205						55-59歳	
参考記録	964	曽我 奈那美	27	女	愛知県		0:37:05	147	1:37:11	236	2:14:16	206						25-29歳	
参考記録	720	立木 祥平	42	男	京都府		0:38:52	192	1:35:32	211	2:14:24	207						40-44歳	
参考記録	853	小山 光晴	52	男	愛知県		0:39:50	230	1:34:41	203	2:14:31	208						50-54歳	
