総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
164	4515	⽯原 基宏	47	男	⻑野	2:58:27	0:38:36	195	0:03:45	1:23:34	179	0:52:32	122	141		45-49男⼦	18		
165	2510	新免 聖也	29	男	兵庫	2:58:29	0:40:45	212	0:03:44	1:23:38	182	0:50:22	95	142		25-29男⼦	7		
166	3523	井貫 琢也	39	男	兵庫	2:58:34	0:40:33	210	0:04:52	1:23:09	170	0:50:00	92	143		35-39男⼦	21		
167	502	⼭本 弘美	50	⼥	兵庫	2:58:54	0:39:51	204	0:05:26	1:19:18	146	0:54:19	132		24	50-54⼥⼦	2		
168	5514	⼭川 真弘	57	男	愛知	2:58:58	0:38:17	190	0:02:51	1:22:38	165	0:55:12	143	144		55-59男⼦	13		
169	3505	森本 ⿓⼀	35	男	愛知	2:59:01	0:38:39	196	0:05:09	1:27:56	202	0:47:17	63	145		35-39男⼦	22		
170	4014	宇⾕ 光貴	43	男	兵庫	2:59:01	0:39:12	200	0:03:07	1:22:12	162	0:54:30	134	146		40-44男⼦	17		
171	504	⾼⽥ ⾥美	54	⼥	福井	3:00:47	0:41:37	217	0:02:39	1:19:24	147	0:57:07	158		25	50-54⼥⼦	3		
172	604	藤井 眞由美	63	⼥	愛知	3:01:01	0:33:12	136	0:03:12	1:26:35	195	0:58:02	170		26	60-64⼥⼦	2		
173	5018	安齋 和真	52	男	滋賀	3:01:47	0:32:28	122	0:03:20	1:30:36	207	0:55:23	147	147		50-54男⼦	30		
174	3005	清⽔ 夏輝	30	男	愛知	3:01:55	0:42:43	224	0:04:15	1:15:13	102	0:59:44	177	148		30-34男⼦	11		
175	5017	⽶岡 賢太郎	51	男	岐⾩	3:02:14	0:36:53	182	0:03:24	1:22:33	164	0:59:24	176	149		50-54男⼦	31	岐⾩県男⼦	13
